11,16,1
11,18,1
17,15,1
4,0,-1
5,1,-1
3,9,-1
0,8,-1
6,6,-1
11,18,1
3,5,-1
5,7,-1
1,6,-1
4,6,-1
1,2,-1
1,4,-1
7,4,-1
5,6,-1
8,5,-1
9,3,-1
17,18,1
11,13,1
18,14,1
17,13,1
7,0,-1
0,2,-1
11,15,1
4,9,-1
18,16,1
13,17,1
2,5,-1
9,8,-1
8,2,-1
18,12,1
0,8,-1
11,12,1
4,1,-1
8,8,-1
6,6,-1
13,17,1
9,3,-1
7,3,-1
14,17,1
2,4,-1
11,11,1
14,11,1
3,0,-1
2,4,-1
14,16,1
12,18,1
2,5,-1
16,19,1
17,16,1
0,4,-1
17,12,1
11,15,1
7,4,-1
2,3,-1
0,6,-1
16,13,1
12,18,1
4,2,-1
4,7,-1
7,6,-1
14,12,1
19,15,1
18,14,1
14,19,1
1,7,-1
14,15,1
5,1,-1
2,5,-1
4,6,-1
17,13,1
4,7,-1
5,9,-1
5,3,-1
3,9,-1
11,16,1
4,0,-1
13,18,1
17,12,1
13,12,1
3,4,-1
15,16,1
2,7,-1
19,11,1
16,19,1
17,16,1
19,18,1
4,7,-1
2,7,-1
2,4,-1
16,16,1
8,1,-1
9,1,-1
7,1,-1
14,16,1
11,15,1
17,15,1
16,19,1
14,18,1
17,16,1
2,0,-1
12,19,1
9,0,-1
16,13,1
11,11,1
15,18,1
7,1,-1
4,1,-1
18,13,1
1,8,-1
7,8,-1
6,7,-1
8,2,-1
13,18,1
4,4,-1
3,0,-1
1,9,-1
17,13,1
12,11,1
12,13,1
4,0,-1
8,4,-1
1,8,-1
9,7,-1
6,3,-1
11,15,1
19,12,1
18,19,1
19,14,1
0,4,-1
18,17,1
11,13,1
18,12,1
8,5,-1
4,6,-1
0,3,-1
17,14,1
1,9,-1
19,12,1
15,12,1
7,9,-1
15,17,1
1,2,-1
14,19,1
14,16,1
7,3,-1
12,11,1
4,4,-1
3,5,-1
12,15,1
7,1,-1
11,18,1
0,8,-1
13,19,1
12,11,1
4,6,-1
11,13,1
3,2,-1
13,16,1
12,12,1
12,16,1
19,19,1
1,0,-1
4,5,-1
5,3,-1
12,15,1
17,17,1
7,1,-1
15,19,1
8,1,-1
4,7,-1
0,1,-1
4,5,-1
17,15,1
8,0,-1
16,19,1
9,0,-1
4,9,-1
8,1,-1
16,15,1
18,13,1
13,19,1
2,9,-1
11,11,1
14,14,1
1,2,-1
14,17,1
11,17,1
15,17,1
18,18,1
1,9,-1
19,13,1
18,19,1
18,14,1
11,13,1
15,16,1
17,19,1
19,18,1
