8,6,-1
6,7,-1
2,4,-1
6,3,-1
17,11,1
14,14,1
19,15,1
1,5,-1
4,5,-1
3,4,-1
6,0,-1
12,16,1
5,3,-1
7,3,-1
13,13,1
5,2,-1
16,17,1
19,13,1
18,13,1
18,19,1
1,0,-1
5,5,-1
12,13,1
19,17,1
19,15,1
16,19,1
12,15,1
9,9,-1
8,9,-1
17,19,1
14,17,1
14,19,1
13,12,1
8,6,-1
6,3,-1
17,13,1
13,14,1
15,11,1
1,5,-1
15,12,1
14,18,1
2,7,-1
3,9,-1
13,19,1
2,3,-1
12,17,1
17,17,1
6,5,-1
8,5,-1
17,11,1
12,14,1
14,16,1
17,18,1
18,19,1
4,1,-1
12,14,1
4,5,-1
16,16,1
7,3,-1
9,3,-1
1,3,-1
11,15,1
3,1,-1
1,4,-1
2,0,-1
15,14,1
15,13,1
13,14,1
13,11,1
17,11,1
11,19,1
7,5,-1
7,6,-1
2,8,-1
11,11,1
3,3,-1
1,3,-1
14,12,1
5,1,-1
2,9,-1
3,3,-1
18,18,1
17,14,1
14,12,1
15,12,1
5,7,-1
7,1,-1
13,13,1
8,6,-1
0,2,-1
12,16,1
0,4,-1
3,0,-1
9,6,-1
12,13,1
8,2,-1
11,16,1
11,18,1
2,5,-1
1,7,-1
18,13,1
1,8,-1
17,16,1
3,9,-1
0,0,-1
8,7,-1
1,1,-1
17,19,1
14,13,1
14,19,1
2,0,-1
15,18,1
16,11,1
6,0,-1
6,1,-1
3,3,-1
9,6,-1
6,9,-1
16,18,1
7,1,-1
4,1,-1
19,16,1
17,13,1
2,7,-1
17,16,1
11,13,1
3,6,-1
12,14,1
0,9,-1
7,6,-1
14,18,1
19,16,1
4,8,-1
15,19,1
16,12,1
2,7,-1
17,14,1
16,14,1
19,13,1
0,1,-1
3,0,-1
14,18,1
0,4,-1
12,17,1
4,9,-1
14,17,1
6,9,-1
7,0,-1
9,8,-1
9,7,-1
18,19,1
17,18,1
9,1,-1
8,4,-1
15,16,1
12,19,1
12,16,1
9,3,-1
2,7,-1
16,18,1
3,5,-1
7,9,-1
12,15,1
15,13,1
14,16,1
13,15,1
19,15,1
2,5,-1
4,8,-1
19,18,1
14,14,1
6,4,-1
7,8,-1
14,15,1
9,4,-1
15,13,1
9,3,-1
3,8,-1
2,5,-1
18,15,1
9,6,-1
16,13,1
19,17,1
17,15,1
13,17,1
6,8,-1
18,13,1
6,6,-1
16,14,1
17,17,1
1,3,-1
7,5,-1
5,4,-1
16,18,1
19,17,1
2,2,-1
0,5,-1
19,14,1
4,3,-1
0,7,-1
