29,20,1
19,21,1
11,17,1
-18,-23,-1
-11,-27,-1
19,9,1
23,14,1
-15,-25,-1
-13,-25,-1
22,17,1
15,9,1
27,3,1
24,0,1
29,2,1
14,11,1
-15,-22,-1
14,14,1
22,3,1
24,0,1
11,15,1
25,12,1
-17,-28,-1
-16,-23,-1
12,18,1
-14,-21,-1
-17,-22,-1
24,19,1
-15,-27,-1
14,21,1
-14,-25,-1
10,18,1
-16,-23,-1
-13,-30,-1
24,25,1
-18,-24,-1
-16,-27,-1
20,26,1
14,18,1
-13,-29,-1
-14,-28,-1
16,21,1
-18,-26,-1
19,21,1
-15,-27,-1
-14,-24,-1
27,29,1
26,27,1
29,20,1
17,22,1
27,18,1
28,2,1
17,19,1
14,21,1
23,3,1
-16,-24,-1
-12,-22,-1
15,1,1
-19,-24,-1
-13,-29,-1
10,24,1
-15,-21,-1
-16,-23,-1
-17,-30,-1
-17,-22,-1
28,12,1
-20,-21,-1
-14,-29,-1
26,3,1
19,26,1
15,16,1
